CODE,NAME,LEVEL,PARENT_CODE,STATUS
513327,炉霍县,3,513300,1
513328,甘孜县,3,513300,1
513329,新龙县,3,513300,1
513330,德格县,3,513300,1
513331,白玉县,3,513300,1
513332,石渠县,3,513300,1
513333,色达县,3,513300,1
513334,理塘县,3,513300,1
513335,巴塘县,3,513300,1
513336,乡城县,3,513300,1
513337,稻城县,3,513300,1
513338,得荣县,3,513300,1
513400,凉山彝族自治州,2,510000,1
513401,西昌市,3,513400,1
513402,会理市,3,513400,1
513422,木里藏族自治县,3,513400,1
513423,盐源县,3,513400,1
513424,德昌县,3,513400,1
513426,会东县,3,513400,1
513427,宁南县,3,513400,1
513428,普格县,3,513400,1
513429,布拖县,3,513400,1
